product_code,product_name,branch_code,branch_name,region,current_stock,unit,recent_avg_daily_demand,forecast_avg_daily_demand,forecast_total_30d,trend,stock_coverage_days
00.KCB.100.NS,Ke Cân Bằng NS  1 mm,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,56,Kg,0.1,0.1,3.0,estimated,560.0
00.KCB.150.NS,Ke Cân Bằng NS  1.5 mm,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,36,Kg,0.1,0.1,3.0,estimated,360.0
00.KCB.200.NS,Ke Cân Bằng NS  2.0 mm,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,140,Kg,0.1,0.1,3.0,estimated,1400.0
00.KCT.100.NS,Ke Chữ Thập NS 1 mm,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,23,Kg,0.1,0.1,3.0,estimated,230.0
00.KCT.150.NS,Ke Chữ Thập NS 1.5 mm,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,18,Kg,0.1,0.1,3.0,estimated,180.0
00.KCT.200.NS,Ke Chữ Thập NS 2 mm,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,19,Kg,0.1,0.1,3.0,estimated,190.0
00.KIM.01,Kìm Bấm Nêm,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,26,Cái,0.1,0.1,3.0,estimated,260.0
00.NEM.TS,Nêm Cân Bằng,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,23,Kg,0.1,0.1,3.0,estimated,230.0
03.L1.14560.9532.5,Gạch 14.5x60 MS 9532 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1064,Viên,0.3546666666666667,0.3546666666666667,10.64,estimated,3000.0
03.L1.14560.9551.4,Gạch 14.5x60 MS 9551 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1092,Viên,0.364,0.364,10.92,estimated,3000.0
03.L1.3030.6372.6,Gạch 30x30 MS 6372 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,704,Viên,0.23466666666666666,0.23466666666666666,7.04,estimated,3000.0
03.L1.3060.7104.9,Gạch 30x60 MS 7104 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,11559,Viên,3.853,3.853,115.59,estimated,3000.0
03.L1.3060.7105.5,Gạch 30x60 MS 7105 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,924,Viên,0.308,0.308,9.24,estimated,3000.0
03.L1.3060.7106.4,Gạch 30x60 MS 7106 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2058,Viên,0.686,0.686,20.580000000000002,estimated,2999.9999999999995
03.L1.3060.7107.5,Gạch 30x60 MS 7107 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1554,Viên,0.518,0.518,15.540000000000001,estimated,3000.0
03.L1.3060.7107.8,Gạch 30x60 MS 7107 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,6720,Viên,2.24,2.24,67.2,estimated,2999.9999999999995
03.L1.3060.7108.5,Gạch 30x60 MS 7108 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,2562,Viên,0.854,0.854,25.62,estimated,3000.0
03.L1.3060.7109.5,Gạch 30x60 MS 7109 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,245,Viên,0.1,0.1,3.0,estimated,2450.0
03.L1.3060.7109.8,Gạch 30x60 MS 7109 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,19936,Viên,6.645333333333334,6.645333333333334,199.36,estimated,2999.9999999999995
03.L1.3060.7114.3,Gạch 30x60 MS 7114 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1162,Viên,0.38733333333333336,0.38733333333333336,11.620000000000001,estimated,2999.9999999999995
03.L1.3060.7115.5,Gạch 30x60 MS 7115 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,238,Viên,0.1,0.1,3.0,estimated,2380.0
03.L1.3060.7116.5,Gạch 30x60 MS 7116 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,280,Viên,0.1,0.1,3.0,estimated,2800.0
03.L1.3060.7121.3,Gạch 30x60 MS 7121 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,644,Viên,0.21466666666666667,0.21466666666666667,6.44,estimated,3000.0
03.L1.3060.7121.8,Gạch 30x60 MS 7121 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1358,Viên,0.45266666666666666,0.45266666666666666,13.58,estimated,3000.0
03.L1.3060.7122.4,Gạch 30x60 MS 7122 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,56,Viên,0.1,0.1,3.0,estimated,560.0
03.L1.3060.7122.5,Gạch 30x60 MS 7122 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,196,Viên,0.1,0.1,3.0,estimated,1960.0
03.L1.3060.7122.7,Gạch 30x60 MS 7122 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,541,Viên,0.18033333333333335,0.18033333333333335,5.41,estimated,3000.0
03.L1.3060.7123.1,Gạch 30x60 MS 7123 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,469,Viên,0.15633333333333335,0.15633333333333335,4.69,estimated,2999.9999999999995
03.L1.3060.7123.8,Gạch 30x60 MS 7123 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1827,Viên,0.609,0.609,18.27,estimated,3000.0
03.L1.3060.7347.7,Gạch 30x60 MS 7347 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,3398,Viên,1.1326666666666667,1.1326666666666667,33.980000000000004,estimated,3000.0
03.L1.3060.7348.6,Gạch 30x60 MS 7348 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,194,Viên,0.1,0.1,3.0,estimated,1940.0
03.L1.3060.7349.4,Gạch 30x60 MS 7349 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,1493,Viên,0.49766666666666665,0.49766666666666665,14.93,estimated,3000.0
03.L1.3060.7349.9,Gạch 30x60 MS 7349 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,112,Viên,0.1,0.1,3.0,estimated,1120.0
03.L1.3060.7401.7,Gạch 30x60 MS 7401 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,11564,Viên,3.8546666666666667,3.8546666666666667,115.64,estimated,3000.0
03.L1.3060.7404.5,Gạch 30x60 MS 7404 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,6781,Viên,2.2603333333333335,2.2603333333333335,67.81,estimated,2999.9999999999995
03.L1.3060.7524.3,Gạch 30x60 MS 7524 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,8442,Viên,2.814,2.814,84.42,estimated,3000.0
03.L1.3060.7524.4,Gạch 30x60 MS 7524 Loại 1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,14994,Viên,4.998,4.998,149.94,estimated,3000.0
