product_code,branch_code,product_name,unit,quantity
00.KCB.100.NS,1,Ke Cân Bằng NS  1 mm,Kg,56
00.KCB.100.NS,8,Ke Cân Bằng NS  1 mm,Kg,42
00.KCB.100.NS,10,Ke Cân Bằng NS  1 mm,Kg,53
00.KCB.100.NS,11,Ke Cân Bằng NS  1 mm,Kg,122
00.KCB.100.NS,14,Ke Cân Bằng NS  1 mm,Kg,36
00.KCB.100.NS,15,Ke Cân Bằng NS  1 mm,Kg,62
00.KCB.100.NS,16,Ke Cân Bằng NS  1 mm,Kg,70
00.KCB.100.NS,17,Ke Cân Bằng NS  1 mm,Kg,42
00.KCB.100.NS,18,Ke Cân Bằng NS  1 mm,Kg,62
00.KCB.100.NS,19,Ke Cân Bằng NS  1 mm,Kg,99
00.KCB.100.NS,20,Ke Cân Bằng NS  1 mm,Kg,98
00.KCB.100.NS,22,Ke Cân Bằng NS  1 mm,Kg,105
00.KCB.100.NS,23,Ke Cân Bằng NS  1 mm,Kg,126
00.KCB.100.NS,49,Ke Cân Bằng NS  1 mm,Kg,36
00.KCB.100.NS,50,Ke Cân Bằng NS  1 mm,Kg,70
00.KCB.100.NS,59,Ke Cân Bằng NS  1 mm,Kg,52
00.KCB.100.NS,63,Ke Cân Bằng NS  1 mm,Kg,24
00.KCB.100.NS,65,Ke Cân Bằng NS  1 mm,Kg,72
00.KCB.100.NS,66,Ke Cân Bằng NS  1 mm,Kg,48
00.KCB.100.NS,67,Ke Cân Bằng NS  1 mm,Kg,58
00.KCB.100.NS,68,Ke Cân Bằng NS  1 mm,Kg,56
00.KCB.100.NS,69,Ke Cân Bằng NS  1 mm,Kg,84
00.KCB.100.NS,70,Ke Cân Bằng NS  1 mm,Kg,66
00.KCB.100.NS,71,Ke Cân Bằng NS  1 mm,Kg,65
00.KCB.100.NS,72,Ke Cân Bằng NS  1 mm,Kg,46
00.KCB.100.NS,73,Ke Cân Bằng NS  1 mm,Kg,83
00.KCB.100.NS,74,Ke Cân Bằng NS  1 mm,Kg,140
00.KCB.100.NS,75,Ke Cân Bằng NS  1 mm,Kg,62
00.KCB.100.NS,76,Ke Cân Bằng NS  1 mm,Kg,22
00.KCB.100.NS,79,Ke Cân Bằng NS  1 mm,Kg,72
00.KCB.100.NS,81,Ke Cân Bằng NS  1 mm,Kg,70
00.KCB.100.NS,95,Ke Cân Bằng NS  1 mm,Kg,51
00.KCB.100.NS,99,Ke Cân Bằng NS  1 mm,Kg,91
00.KCB.100.NS,100,Ke Cân Bằng NS  1 mm,Kg,50
00.KCB.100.NS,101,Ke Cân Bằng NS  1 mm,Kg,42
00.KCB.100.NS,102,Ke Cân Bằng NS  1 mm,Kg,33
00.KCB.100.NS,104,Ke Cân Bằng NS  1 mm,Kg,43
00.KCB.100.NS,105,Ke Cân Bằng NS  1 mm,Kg,77
00.KCB.100.NS,107,Ke Cân Bằng NS  1 mm,Kg,47
00.KCB.100.NS,108,Ke Cân Bằng NS  1 mm,Kg,140
00.KCB.100.NS,110,Ke Cân Bằng NS  1 mm,Kg,57
00.KCB.100.NS,112,Ke Cân Bằng NS  1 mm,Kg,48
00.KCB.100.NS,113,Ke Cân Bằng NS  1 mm,Kg,70
00.KCB.100.NS,115,Ke Cân Bằng NS  1 mm,Kg,70
