product_code,product_name,category,f_sku,spec_code_size,unit
14.L1.3060.A36410.7,Gạch 30x60 MS A36410 Loại 1,F_Bộ,36410-36310D-36310,3060,Viên
25.L1.6060.GHP6004.3,Gạch 60x60 MS GHP6004 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
10.L1.3060.4601.8,Gạch 30x60 MS 4601 Loại 1,F_Bộ,4601-4602-4603,3060,Viên
14.L1.4080.48922.1,Gạch 40x80 MS 48922 Loại 1,F_Bộ,48822 - 48922D - 48922,4080A,Viên
25.L1.3060.GT3602.50,Gạch 30x60 MS GT3602 Loại 1,F_Bộ,GT3602-GTD3602-GT3603,3060,Viên
25.L1.3060.GT3603.51,Gạch 30x60 MS GT3603 Loại 1,F_Bộ,GT3602-GTD3602-GT3603,3060,Viên
25.L1.3060.GTD3602.51,Gạch 30x60 MS GTD3602 Loại 1,F_Bộ,GT3602-GTD3602-GT3603,3060,Viên
10.L1.3060.5791.1,Gạch 30x60 MS 5791 Loại 1,F_Bộ,5791-5792-5793,3060,Viên
14.L1.4080.48907D.3,Gạch 40x80 MS 48907D Loại 1,F_Bộ,48907-48907D-48807,4080A,Viên
14.L1.4080.U4911,Gạch 40x80 MS U4911 Loại 1,F_Bộ,U4811-U4911-U4911D,4080M,Viên
12.L1.2040.2404.8,Gạch 20x40 MS 2404 Loại 1,F_Solo,Solo2040.CeramicMatt/ Sugar,2040,Viên
25.L1.3060.GT3601.50,Gạch 30x60 MS GT3601 Loại 1,F_Bộ,GT3601-GTD3601-GT3601V,3060,Viên
25.L1.3060.GTD3601.50,Gạch 30x60 MS GTD3601 Loại 1,F_Bộ,GT3601-GTD3601-GT3601V,3060,Viên
03.L1.4080.7713.2,Gạch 40x80 MS 7713 Loại 1,F_Bộ,7713-7712-7711,4080,Viên
03.L1.3060.7123.7,Gạch 30x60 MS 7123 Loại 1,F_Bộ,7123-7122-7121,3060,Viên
10.L1.3060.4612.5,Gạch 30x60 MS 4612 Loại 1,F_Bộ,4611-4612-4613,3060,Viên
14.L1.4080.48868.9,Gạch 40x80 MS 48868 Loại 1,F_Bộ,48968D-48868,4080A,Viên
03.L1.3060.7643.5,Gạch 30x60 MS 7643 Loại 1,F_Bộ,7641-7642-7643,3060,Viên
10.L1.3060.4617.5,Gạch 30x60 MS 4617 Loại 1,F_Bộ,4617-4618-4619,3060,Viên
10.L1.3060.4619.5,Gạch 30x60 MS 4619 Loại 1,F_Bộ,4617-4618-4619,3060,Viên
14.L1.3030.33411.3,Gạch 30x30 MS 33411 Loại 1,F_Solo,Solo3030.GraniteMatt/ Sugar,3030,Viên
10.L1.8080.9455.6,Gạch 80x80 MS 9455 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
12.L1.3030.3021.3,Gạch 30x30 MS 3021 Loại 1,F_Solo,Solo3030.CeramicMatt/ Sugar,3030,Viên
14.L1.3030.33418.3,Gạch 30x30 MS 33418 Loại 1,F_Solo,Solo3030.GraniteMatt/ Sugar,3030,Viên
10.L1.6060.5619.9,Gạch 60x60 MS 5619 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
28.L1.6060.6904.A2,Gạch 60x60 MS 6904 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
14.L1.3030.33320.2,Gạch 30x30 MS 33320 Loại 1,F_Solo,Solo3030.GraniteMatt/ Sugar,3030,Viên
21.C100.DG.UNISET.00,Keo dán gạch UniSet C1 Xám,F_NonGach,21.C100.DG.UNISET.00,DG,Kg
03.L1.3030.6378.6,Gạch 30x30 MS 6378 Loại 1,F_Solo,Solo3030.CeramicMatt/ Sugar,3030,Viên
03.L1.3060.7124.7,Gạch 30x60 MS 7124 Loại 1,F_Bộ,7126-7125-7124,3060,Viên
03.L1.3060.7125.5,Gạch 30x60 MS 7125 Loại 1,F_Bộ,7126-7125-7124,3060,Viên
03.L1.3060.7126.2,Gạch 30x60 MS 7126 Loại 1,F_Bộ,7126-7125-7124,3060,Viên
14.L1.4080.48800.6,Gạch 40x80 MS 48800 Loại 1,F_Bộ,48800,4080A,Viên
10.L1.8080.5875.5,Gạch 80x80 MS 5875 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
14.L1.4080.48807.3,Gạch 40x80 MS 48807 Loại 1,F_Bộ,48907-48907D-48807,4080A,Viên
