Mã Sản Phẩm,Mã Chi Nhánh,Chi Nhánh,Khu Vực,Tên Sản Phẩm,Tồn Kho Hiện Tại,Trung Bình daily_demand,Forecast Demand 30d,Tồn Kho An Toàn,Điểm Đặt Hàng Lại,Eoq,Expected Stock After 30d,Action,Priority,Quantity Needed,Unit
00.KCB.100.NS,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Ke Cân Bằng NS  1 mm,56,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,53.0,OK,LOW,0.0,Kg
00.KCB.150.NS,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Ke Cân Bằng NS  1.5 mm,36,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,33.0,OK,LOW,0.0,Kg
00.KCB.200.NS,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Ke Cân Bằng NS  2.0 mm,140,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,137.0,SURPLUS,LOW,0.0,Kg
00.KCT.100.NS,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Ke Chữ Thập NS 1 mm,23,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,20.0,OK,LOW,0.0,Kg
00.KCT.150.NS,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Ke Chữ Thập NS 1.5 mm,18,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,15.0,OK,LOW,0.0,Kg
00.KCT.200.NS,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Ke Chữ Thập NS 2 mm,19,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,16.0,OK,LOW,0.0,Kg
00.KIM.01,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Kìm Bấm Nêm,26,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,23.0,OK,LOW,0.0,Cái
00.NEM.TS,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Nêm Cân Bằng,23,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,20.0,OK,LOW,0.0,Kg
03.L1.14560.9532.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 14.5x60 MS 9532 Loại 1,1064,0.3546666666666667,10.64,0.4630393552977242,2.945706021964391,71.95924772628834,1053.36,SURPLUS,LOW,0.0,Viên
03.L1.14560.9551.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 14.5x60 MS 9551 Loại 1,1092,0.364,10.920000000000005,0.47522460148976947,3.0232246014897695,72.8999314128621,1081.08,SURPLUS,LOW,0.0,Viên
03.L1.3030.6372.6,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x30 MS 6372 Loại 1,704,0.23466666666666666,7.039999999999999,0.3063719042571408,1.9490385709238076,58.53318147284781,696.96,SURPLUS,LOW,0.0,Viên
03.L1.3060.7104.9,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7104 Loại 1,11559,3.853,115.58999999999997,5.0303307404947315,32.00133074049473,237.17883548074016,11443.41,SURPLUS,LOW,0.0,Viên
03.L1.3060.7105.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7105 Loại 1,924,0.308,9.239999999999998,0.4021131243374973,2.5581131243374973,67.05818369147795,914.76,SURPLUS,LOW,0.0,Viên
03.L1.3060.7106.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7106 Loại 1,2058,0.686,20.580000000000002,0.895615595115335,5.6976155951153356,100.07796960370449,2037.42,SURPLUS,LOW,0.0,Viên
03.L1.3060.7107.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7107 Loại 1,1554,0.518,15.540000000000004,0.6762811636585182,4.3022811636585185,86.96436051624826,1538.46,SURPLUS,LOW,0.0,Viên
03.L1.3060.7107.8,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7107 Loại 1,6720,2.24,67.2,2.9244590860908897,18.60445908609089,180.84247288731703,6652.8,SURPLUS,LOW,0.0,Viên
03.L1.3060.7108.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7108 Loại 1,2562,0.854,25.619999999999994,1.1149500265721515,7.092950026572151,111.66198995181843,2536.38,SURPLUS,LOW,0.0,Viên
03.L1.3060.7109.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7109 Loại 1,245,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,242.0,SURPLUS,LOW,0.0,Viên
03.L1.3060.7109.8,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7109 Loại 1,19936,6.645333333333334,199.35999999999999,8.675895288736307,55.19322862206965,311.4833328874383,19736.64,SURPLUS,LOW,0.0,Viên
03.L1.3060.7114.3,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7114 Loại 1,1162,0.38733333333333336,11.620000000000006,0.505687716969883,3.2170210503032166,75.20017730475551,1150.3799999999999,SURPLUS,LOW,0.0,Viên
03.L1.3060.7115.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7115 Loại 1,238,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,235.0,SURPLUS,LOW,0.0,Viên
03.L1.3060.7116.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7116 Loại 1,280,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,277.0,SURPLUS,LOW,0.0,Viên
03.L1.3060.7121.3,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7121 Loại 1,644,0.21466666666666667,6.440000000000002,0.2802606624170436,1.7829273290837104,55.98333085243619,637.56,SURPLUS,LOW,0.0,Viên
03.L1.3060.7121.8,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7121 Loại 1,1358,0.45266666666666666,13.580000000000005,0.5909844403142006,3.7596511069808676,81.29534632027428,1344.42,SURPLUS,LOW,0.0,Viên
03.L1.3060.7122.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7122 Loại 1,56,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,53.0,OK,LOW,0.0,Viên
03.L1.3060.7122.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7122 Loại 1,196,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,193.0,SURPLUS,LOW,0.0,Viên
03.L1.3060.7122.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7122 Loại 1,541,0.18033333333333335,5.410000000000001,0.23543636392487668,1.49776969725821,51.3114672043849,535.59,SURPLUS,LOW,0.0,Viên
03.L1.3060.7123.1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7123 Loại 1,469,0.15633333333333335,4.690000000000001,0.20410287371676003,1.2984362070500934,47.7751678873729,464.31,SURPLUS,LOW,0.0,Viên
03.L1.3060.7123.8,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7123 Loại 1,1827,0.609,18.270000000000003,0.7950873140309606,5.058087314030961,94.29422039552583,1808.73,SURPLUS,LOW,0.0,Viên
03.L1.3060.7347.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7347 Loại 1,3398,1.1326666666666667,33.98,1.4787666628775065,9.407433329544173,128.59600823250048,3364.02,SURPLUS,LOW,0.0,Viên
03.L1.3060.7348.6,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7348 Loại 1,194,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,191.0,SURPLUS,LOW,0.0,Viên
03.L1.3060.7349.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7349 Loại 1,1493,0.49766666666666665,14.930000000000003,0.6497347344544193,4.133401401121086,85.24044423472542,1478.07,SURPLUS,LOW,0.0,Viên
03.L1.3060.7349.9,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7349 Loại 1,112,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,109.0,SURPLUS,LOW,0.0,Viên
03.L1.3060.7401.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 7401 Loại 1,11564,3.8546666666666667,115.64000000000004,5.032506677314739,32.0151733439814,237.23012737283884,11448.36,SURPLUS,LOW,0.0,Viên
